t5 t1 t5 t5 t6 t5 t5 t5 t5 t12 t5 t1 t5 t6 t5 t5 t5 t5 t5 t5
t87 t37 t14 t3 t3 t3 t3 t3 t10 t87 t87 t87 t8 t21 t3 t3 t3 t21 t10 t87
t87 t37 t57 t53 t53 t53 t53 t53 t35 t3 t3 t3 t39 t53 t53 t53 t53 t70 t67 t87
t12 t23 t57 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t70 t67 t87
t87 t23 t57 t53 t53 t53 t53 t71 t71 t71 t71 t71 t71 t53 t53 t53 t53 t70 t67 t87
t87 t12 t57 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t70 t67 t12
t87 t105 t57 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t70 t67 t87
t87 t23 t57 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t70 t67 t87
t87 t14 t45 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t79 t104 t87
t87 t57 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t67 t87 t23
t87 t57 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t67 t87 t87
t87 t57 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t67 t23 t87
t12 t57 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t47 t48 t87
t87 t57 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t70 t67 t87
t87 t57 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t67 t87
t87 t57 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t67 t87
t87 t57 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t67 t87
t87 t76 t103 t103 t103 t103 t103 t77 t53 t53 t53 t53 t53 t53 t53 t53 t53 t53 t67 t37
t87 t105 t105 t23 t105 t105 t105 t76 t103 t103 t103 t103 t103 t103 t103 t103 t103 t103 t104 t87
t87 t87 t87 t87 t105 t37 t87 t87 t87 t87 t87 t87 t87 t87 t87 t87 t12 t87 t87 t87
