b b b b b b b b b b b b b b b b b b b b
b w w w g g g g g g g g g g g g g g g g
b w w w g g g g g g g g g g g g g g g g
b w w w w w g g g g g g g g g g g g g w
b g w w w w g g g g g g g g g g g g w w
b g g w w w w g g g g g g g g g g g w w
b g g g w w w w g g g g g g g g g g w w
b g g g w w w w g g g g g g g g g g g w
b g g g w w w w g g g g g g g g g g g g
b g g g w w w w g g g g g g g g g g g g
b g g g g w w w w g g g g g g g g g g g
b g g g g w w w w g g g g g g g g g g g
b g g g g w w w w g g g g g g g g g g g
b g g g g w w w w g g g g g g g g g g g
b g g g g w w w w g g g g g g g g g g g
b g g g g w w w w g g g g g g g g g g g
b g g g g w w w w g g g g g g g g g g g
b g g g g w w w w g g g g g g g g g g g
b g g w w w w w g g g g g g g g g g g g
b g w w w w w g g g g g g g g g g g g g
